"ਸਾਧੋਗੋਬਿੰਦਕੇਗੁਨਗਾਵਉ॥", "22:45", "https://daasstorage13.blob.core.windows.net/ds1/audios/keertan/dulla_ji/sc/akjorg/ahinis%20bhagat%20kare%20din%20raatee%20laaj%20chhodd%20har%20ke%20gun%20gaavai%20(Dulla%20Ji).mp3", "Dulla Ji"
"ਰਜਿਰਜਿਭੋਜਨੁਖਾਵਹੁਮੇਰੇਭਾਈ॥", "12:30", "https://daasstorage13.blob.core.windows.net/ds1/audios/keertan/sdo/yt_mga/255%20MGA%20SDO%201220%2061%20A.m4a", "SDO Ji"
"ਗੋਪਾਲਤੇਰਾਆਰਤਾ॥", "5:30", "http://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai%20Mehar%20Singh/Bhai%20Mehar%20Singh%20-%20Gopaal%20thaeraa%20aarathaa.mp3", "Bhai Mehar Singh Ji"
"ਗਿਆਨਧਿਆਨਮਾਨਦਾਨਮਨਰਸਿਕਰਸਨਨਾਮੁਜਪਤਤਹਪਾਪਖੰਡਲੀ॥੧॥", "9:21", "https://daasstorage13.blob.core.windows.net/ds1/audios/keertan/sdo/yt_mga/691%20MGA%20SDO%201653%20Bhagat%20Sohey%20Gun%20Gaavdey%2003%201974%20Moga%20SPOOL%20BS%2017%2058.m4a", "SDO Ji"
ਉਚਰਹੁਰਾਮਨਾਮੁਲਖਬਾਰੀ॥,00:00:00,http://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai%20Mohinder%20Singh%20SDO/Oucharahu%20Raam%20Naam%20Lakh%20Baaree.mp3,"SDO Ji"
ਗੁਰਿਸਤਿਗੁਰਿਨਾਮੁਦ੍ਰਿੜਾਇਆਤਿਨਿਹੰਉਮੈਦੁਬਿਧਾਭੰਨੀ॥,00:06:50,https://daasstorage13.blob.core.windows.net/ds1/audios/keertan/dulla_ji/sc/nirbankeertan/Naanuk%20Jinu%20Ko%20Sathigur%20Miliaa%20(Dulla%20Ji).mp3,"Dulla Ji"
ਹਰਿਮੇਰੀਪ੍ਰੀਤਿਰੀਤਿਹੈਹਰਿਮੇਰੀਹਰਿਮੇਰੀਕਥਾਕਹਾਨੀਜੀ॥,00:00:20,https://daasstorage13.blob.core.windows.net/ds1/audios/keertan/sdo/yt_mga/404%20MGA%20SDO%201367%20114%20B%20Har%20Meri%20Preet%20Reet%20Hai%20har%20Meri.m4a,"SDO Ji"
"ਕਾਇਆਸੇਜਗੁਰਸਬਦਿਸੁਖਾਲੀਗਿਆਨਤਤਿਕਰਿਭੋਗੋ॥ ~",00:06:10,http://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai%20Joginder%20Singh%20Talwara/Sathigur%20purakh%20milaae%20avagan%20vikanaa%20gun%20ravaa%20bal%20raam%20jeeo.mp3,"Talwara Ji"
"ਰੰਗੀਲੇਜਿਹਬਾਹਰਿਕੈਨਾਇ॥ ~",00:06:43,https://daasstorage13.blob.core.windows.net/ds1/audios/keertan/sdo/yt_mga/223%20MGA%20SDO%201188%2045%20A.m4a,"SDO Ji"
"ਜਿਤੁਰਸਨਾਹਰਿਨਾਮੁਉਚਾਰੇ॥੧॥ ~",00:05:00,https://daasstorage13.blob.core.windows.net/ds1/audios/keertan/sdo/yt_mga/219%20MGA%20SDO%201184%2043%20A.m4a,"SDO Ji"
